tconst	overview
tt15239678	Paul Atreides unites with Chani and the Fremen, while seeking revenge against the conspirators who destroyed his family.
tt1160419	Paul Atreides, a brilliant and gifted young man, must travel to the most dangerous planet in the universe.
tt0087182	In the year 10191, a spice called melange is the most valuable substance known.
tt1375666	Cobb, a skilled thief who steals secrets from within the subconscious, is offered a chance at redemption.
tt15398776	The story of J. Robert Oppenheimer, and his role in the development of the atomic bomb.
tt1517268	Barbie suffers a crisis that leads her to question her world and her existence.
tt0133093	Set in the 22nd century, The Matrix tells the story of a computer hacker who discovers the truth.
tt9999100	A film where somebody says "hello there" and then a comma, follows.
tt9999101	This description has a real line break right in the middle of it, which is the thing that breaks naive readers.
tt9999103	This description has a tab character in it which must be taken out.
